Tên,Lineage,Issues,URI
"Kim Lăng Thanh Lương Minh","","Bio quá ngắn hoặc trống",
"Đơn Châu Bắc Thiền Tịch","","Bio quá ngắn hoặc trống",
"Lặc Đàm Đạo Khiêm","","Bio quá ngắn hoặc trống",
"Nam Thiên Vương Vĩnh Bình","","Bio quá ngắn hoặc trống",
"Động Sơn Thanh Bẩm","","Bio quá ngắn hoặc trống",
"La Hán Uông Quả","","Bio quá ngắn hoặc trống",
"Lãng Châu Thương Khê Lân","","Bio quá ngắn hoặc trống",
"Hoàng Bá Pháp Tế","","Bio quá ngắn hoặc trống",
"Tây Xuyên Thanh Thành Thừa","","Bio quá ngắn hoặc trống",
"Bát Nhã Khải Nhu","","Bio quá ngắn hoặc trống",
"Tương Châu Cốc Sơn Phong","","Bio quá ngắn hoặc trống",
"Anh Châu Quán Âm","","Bio quá ngắn hoặc trống",
"Song Tuyền Sư Khoan","","Bio quá ngắn hoặc trống",
"Lâm Khê Cảnh Thoát","","Bio quá ngắn hoặc trống",
"Quảng Châu Hoa Nghiêm Tuệ","","Bio quá ngắn hoặc trống",
"Thiều Châu Vân Môn Bảo","","Bio quá ngắn hoặc trống",
"Anh Châu Đại Dung Yên","","Bio quá ngắn hoặc trống",
"Địa Tạng Tuệ Từ","","Bio quá ngắn hoặc trống",
"Thiều Châu Thuấn Phong Thiều","","Bio quá ngắn hoặc trống",
"Quảng Châu La Sơn Sùng","","Bio quá ngắn hoặc trống",
"Thiều Châu Ôn Môn Mãn","","Bio quá ngắn hoặc trống",
"Thiều Châu Tịnh Pháp Chương","","Bio quá ngắn hoặc trống",
"Thiều Châu Vân Môn Hy","","Bio quá ngắn hoặc trống",
"Thiều Châu Bạch Vân Văn","","Bio quá ngắn hoặc trống",
"Quảng Châu Long Cảnh Luân","","Bio quá ngắn hoặc trống",
"Thiều Châu Vân Môn Sảng","","Bio quá ngắn hoặc trống",
"Thiều Châu Tư Phước","","Bio quá ngắn hoặc trống",
"Nam Đài Đạo Tuân","","Bio quá ngắn hoặc trống",
"Song Phong Cảnh Khâm","","Bio quá ngắn hoặc trống",
"Phi Vân Trí Tịch","","Bio quá ngắn hoặc trống",
"Thiều Châu Bạch Vân Tường","","Bio quá ngắn hoặc trống",
"Quảng Châu Quảng Vân Nguyên","","Bio quá ngắn hoặc trống",
"Tương Đàm Minh","","Bio quá ngắn hoặc trống",
"Ba Lăng Hạo Giám","","Bio quá ngắn hoặc trống",
"Hương Lâm Trừng Viễn","","Bio quá ngắn hoặc trống",
"Động Sơn Tông Huệ Thủ Sơ","","Bio quá ngắn hoặc trống",
"Phụng Tiên Đạo Thâm","","Bio quá ngắn hoặc trống",
"Chất Sanh Tịch Văn","","Bio quá ngắn hoặc trống",
"Đoan Viên Chiếu Hóa","","Bio quá ngắn hoặc trống",
"Duy Siêu Năng Xán","","Bio quá ngắn hoặc trống",
"Cơ Lượng Nhân Phồn","","Bio quá ngắn hoặc trống",
"Ngưỡng Sơn Lương Cúng","","Bio quá ngắn hoặc trống",
"Thúy Nham Tông Tỉnh","","Bio quá ngắn hoặc trống",
"Giác Lĩnh Hiển Thông","","Bio quá ngắn hoặc trống",
"Thanh Kim Quang Diễm","","Bio quá ngắn hoặc trống",
"Thanh Tín Ứng Nghiệm","","Bio quá ngắn hoặc trống",
"Thanh Quang Thường Doanh","","Bio quá ngắn hoặc trống",
"Thanh Nhàn Quảng Lãm","","Bio quá ngắn hoặc trống",
"Thanh Lương Tổng Quy","","Bio quá ngắn hoặc trống",
"Thanh Tâm Diệu Ứng","","Bio quá ngắn hoặc trống",
"Thanh Phước Như Lâm","","Bio quá ngắn hoặc trống",
"Hải Trân Thoại Uyển","","Bio quá ngắn hoặc trống",
"Hải An Bảo Thuận","","Bio quá ngắn hoặc trống",
"Thanh Nguyên Tiên Giảng","","Bio quá ngắn hoặc trống",
"Hải Từ Tâm Chánh","","Bio quá ngắn hoặc trống",
"Khế Vi","","Bio quá ngắn hoặc trống",
"Ma Nô La","","Bio quá ngắn hoặc trống",
"Ma Noa La","","Bio quá ngắn hoặc trống",
"Manorhita","","Bio quá ngắn hoặc trống",
"摩拏羅","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Na Đề","","Bio quá ngắn hoặc trống",
"Tây Ấn Độ","","Bio quá ngắn hoặc trống",
"Gặp tổ Bà Tu","","Bio quá ngắn hoặc trống",
"Giải thích tháp vua Đắc Độ","","Bio quá ngắn hoặc trống",
"Hương dẫn Hạc Lặc Na","","Bio quá ngắn hoặc trống",
"Thiên hóa","","Bio quá ngắn hoặc trống",
"Bảo Ấn","","Bio quá ngắn hoặc trống",
"Đắc Độ","","Bio quá ngắn hoặc trống",
"Long Tử","","Bio quá ngắn hoặc trống",
"Thường Tự Tại","","Bio quá ngắn hoặc trống",
"Như Quý Pháp Ấn","","Bio quá ngắn hoặc trống",
"Như Bửu Đạt Thanh","","Bio quá ngắn hoặc trống",
"Như Đạt Thiện Cang","","Bio quá ngắn hoặc trống",
"Như Đắc Từ Nhẫn","","Bio quá ngắn hoặc trống",
"Minh Khiêm Hoằng Ân","","Bio quá ngắn hoặc trống",
"Minh Lý Quảng An","","Bio quá ngắn hoặc trống",
"Huệ Khả","","Bio quá ngắn hoặc trống",
"Tăng Khả","","Bio quá ngắn hoặc trống",
"Thần Quang","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Ẩn cư tại Hoàn Công Sơn","","Bio quá ngắn hoặc trống",
"Tham học Bồ Đề Đạt Ma tại Thiếu Lâm Tự","","Bio quá ngắn hoặc trống",
"Trao truyền pháp cho Tăng Xán","","Bio quá ngắn hoặc trống",
"Xuất gia tại Vĩnh Mục Tự","","Bio quá ngắn hoặc trống",
"Võ Lao, Lạc Dương, Hà Nam","","Bio quá ngắn hoặc trống",
"Kinh đô Nghiệp, Hà Nam","","Bio quá ngắn hoặc trống",
"Thai Châu Bạch Vân Nãi","","Bio quá ngắn hoặc trống",
"Phước Châu Báo Quốc Chiếu","","Bio quá ngắn hoặc trống",
"Trấn Cảnh Ngộ Duyên","","Bio quá ngắn hoặc trống",
"Công Thần Đạo Nhàn","","Bio quá ngắn hoặc trống",
"Lục Thông Chí Cầu","","Bio quá ngắn hoặc trống",
"Đoan Nghiêm Sư Tấn","","Bio quá ngắn hoặc trống",
"Hàng Châu Vân Long Quy","","Bio quá ngắn hoặc trống",
"Tịnh Từ Cư Giản","","Bio quá ngắn hoặc trống",
"Ngạc Châu Linh Trúc","","Bio quá ngắn hoặc trống",
"Vân Môn Hải Án","","Bio quá ngắn hoặc trống",
"Ðồng Ðiển","","Bio quá ngắn hoặc trống",
"Ôn Châu Cảnh Phong","","Bio quá ngắn hoặc trống",
"Động Sơn Quy Đoan","","Bio quá ngắn hoặc trống",
"Tư Phước Trí Viễn","","Bio quá ngắn hoặc trống",
"Nam Thiền Ngộ Duyên","","Bio quá ngắn hoặc trống",
"Thanh Hóa Sư Nột","","Bio quá ngắn hoặc trống",
"Sở Châu Quán Âm Bân","","Bio quá ngắn hoặc trống",
"Nam Nhạc Hoàng Long","","Bio quá ngắn hoặc trống",
"Thụy Phong Thần Lộc","","Bio quá ngắn hoặc trống",
"Hồng Châu Đại Ninh Nạp","","Bio quá ngắn hoặc trống",
"Tín Châu Nga Hồ Thiều","","Bio quá ngắn hoặc trống",
"Đại Ninh Hải Nhất","","Bio quá ngắn hoặc trống",
"Thị Thượng Bảo Phước","","Bio quá ngắn hoặc trống",
"Thị Trình","","Bio quá ngắn hoặc trống",
"Thị Long","","Bio quá ngắn hoặc trống",
"Dược Lâm Thạch Quan","","Bio quá ngắn hoặc trống",
"Đại Hồng Tổ Chứng","","Bio quá ngắn hoặc trống",
"Lão Na Từ Đăng Đại Hoằng","","Bio quá ngắn hoặc trống",
"Vô Môn Huệ Khai","","Bio quá ngắn hoặc trống",
"Dược Lâm Thạch Quan","","Bio quá ngắn hoặc trống",
"Bách Trượng Sơn Đại Trí Thọ Thánh Thiền Tự","","Bio quá ngắn hoặc trống",
"Đại Hùng Sơn, Huyện Phụng Tân, Hồng Châu","","Bio quá ngắn hoặc trống",
"Lô Giang, An Huy","","Bio quá ngắn hoặc trống",
"Nam Nhạc","","Bio quá ngắn hoặc trống",
"Trường Lạc, Phúc Châu","","Bio quá ngắn hoặc trống",
"Bà Tâu Bàn Đâu","","Bio quá ngắn hoặc trống",
"Bà Tu Bàn Đà","","Bio quá ngắn hoặc trống",
"Bà Tu Bàn Đâu","","Bio quá ngắn hoặc trống",
"Hoa Tu Bàn Đâu","","Bio quá ngắn hoặc trống",
"Phat Tô Bàn Đô","","Bio quá ngắn hoặc trống",
"Phiệt Tô Bạn Đồ","","Bio quá ngắn hoặc trống",
"婆修盤頭","","Bio quá ngắn hoặc trống",
"Thế Thân","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Thiên Thân","","Bio quá ngắn hoặc trống",
"La Duyệt Thành","","Bio quá ngắn hoặc trống",
"Hóa độ chúng sinh","","Bio quá ngắn hoặc trống",
"Đắc pháp","","Bio quá ngắn hoặc trống",
"Hành hóa tại Na Đề","","Bio quá ngắn hoặc trống",
"Xuất gia","","Bio quá ngắn hoặc trống",
"Hiền Chúng","","Bio quá ngắn hoặc trống",
"Ma Ha La","","Bio quá ngắn hoặc trống",
"Nghiêm Nhất","","Bio quá ngắn hoặc trống",
"Quang Cái","","Bio quá ngắn hoặc trống",
"Quang Độ","","Bio quá ngắn hoặc trống",
"Tỳ Bà Ha","","Bio quá ngắn hoặc trống",
"Vô Chuẩn Sư Phạm","","Bio quá ngắn hoặc trống",
"Đại Trì Phước Khánh","","Bio quá ngắn hoặc trống",
"Đại Bồ Thiện Đề","","Bio quá ngắn hoặc trống",
"Đại Phước Liễu Tánh","","Bio quá ngắn hoặc trống",
"Đại Hạnh Phổ Hiền","","Bio quá ngắn hoặc trống",
"Thao Xảo Thông Thánh","","Bio quá ngắn hoặc trống",
"Kỳ Ngạn Phổ Minh","","Bio quá ngắn hoặc trống",
"Ngộ Tu Tâm Không","","Bio quá ngắn hoặc trống",
"Nhữ Châu Bảo Ứng","","Bio quá ngắn hoặc trống",
"Ích Châu Vô Tướng","","Bio quá ngắn hoặc trống",
"ĐS Thừa Viễn","","Bio quá ngắn hoặc trống",
"Hải Bình Bảo Tạng","","Bio quá ngắn hoặc trống",
"Hải Lưu Mật Niệm","","Bio quá ngắn hoặc trống",
"Hoàng Bá Sơn","","Bio quá ngắn hoặc trống",
"Đức Thiền Nhân Hội","","Bio quá ngắn hoặc trống",
"Tiến Phước Diễn","","Bio quá ngắn hoặc trống",
"Phổ Chiếu Sung","","Bio quá ngắn hoặc trống",
"Trí Môn Nhã","","Bio quá ngắn hoặc trống",
"Dương Châu Đại Nham Bạch","","Bio quá ngắn hoặc trống",
"Thọ Xương Tịnh Tịch","","Bio quá ngắn hoặc trống",
"Quế Dương Chí Thông","","Bio quá ngắn hoặc trống",
"Thiểm Châu Long Thê","","Bio quá ngắn hoặc trống",
"Mộc Bình Thiện Đạo","","Bio quá ngắn hoặc trống",
"Vĩnh An Tịnh Ngộ","","Bio quá ngắn hoặc trống",
"Hoành Hóa Nguyên Ngộ","","Bio quá ngắn hoặc trống",
"Thanh Chư Mật Nghĩa","","Bio quá ngắn hoặc trống",
"TT Thích Ðồng Trung","","Bio quá ngắn hoặc trống",
"Đỉnh Phong Quả Thành","","Bio quá ngắn hoặc trống",
"Diệu Liên Thánh Hóa","","Bio quá ngắn hoặc trống",
"Thiện Từ Thường Khai","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Upagupta","","Bio quá ngắn hoặc trống",
"優婆毱多","","Bio quá ngắn hoặc trống",
"Ma Đột La (Mathura)","","Bio quá ngắn hoặc trống",
"Dạy vua A Dục xây tháp cúng dường","","Bio quá ngắn hoặc trống",
"Giáo hoá và độ nhiều người","","Bio quá ngắn hoặc trống",
"Chứng quả Tu Đà Hoàn và A Na Hàm","","Bio quá ngắn hoặc trống",
"Gia nhập Tăng đoàn","","Bio quá ngắn hoặc trống",
"Hoằng hoá pháp","","Bio quá ngắn hoặc trống",
"Hương Chúng","","Bio quá ngắn hoặc trống",
"Ma Ba Tuần","","Bio quá ngắn hoặc trống",
"Thiện Ý","","Bio quá ngắn hoặc trống",
"Ma Đột La","","Bio quá ngắn hoặc trống",
"Bảo An Siêu","","Bio quá ngắn hoặc trống",
"Tịnh Độ Duy Tố","","Bio quá ngắn hoặc trống",
"Tử Bách Chân Khả","","Bio quá ngắn hoặc trống",
"Thị Thanh Vô Vi","","Bio quá ngắn hoặc trống",
"Thị Hớn Nhơn Thọ","","Bio quá ngắn hoặc trống",
"Thị Cảnh Viên Minh","","Bio quá ngắn hoặc trống",
"Anh Lạc Đồng Tử","","Bio quá ngắn hoặc trống",
"Bát Nhã Đa La","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Đông Thiên Trúc","","Bio quá ngắn hoặc trống",
"Nước Hương Chí","","Bio quá ngắn hoặc trống",
"Tây Thiên","","Bio quá ngắn hoặc trống",
"Truyền pháp cho Bồ Đề Đạt Ma","","Bio quá ngắn hoặc trống",
"Gặp Bồ Đề Đạt Ma và truyền pháp","","Bio quá ngắn hoặc trống",
"Hồng Châu Đồng An Oai","","Bio quá ngắn hoặc trống",
"Hải Trường Pháp Lữ","","Bio quá ngắn hoặc trống",
"Hải Hoa Phát Đạt","","Bio quá ngắn hoặc trống",
"Hải Trạch Thiền Hoa","","Bio quá ngắn hoặc trống",
"Hải Phong Vĩnh Mậu","","Bio quá ngắn hoặc trống",
"Thạch Môn Thủ Tấn","","Bio quá ngắn hoặc trống",
"Cổ Chuyết Nguyên Hậu","","Bio quá ngắn hoặc trống",
"Vô Tế Minh Ngộ","","Bio quá ngắn hoặc trống",
"Am Chủ Sam Dương","","Bio quá ngắn hoặc trống",
"Sam Dương Pháp tự","","Bio quá ngắn hoặc trống",
"Thiền Sư","","Bio quá ngắn hoặc trống",
"Tế Điền Như Bổn","","Bio quá ngắn hoặc trống",
"Đồng Phong","","Bio quá ngắn hoặc trống",
"Động Sơn Trạch Ngôn","","Bio quá ngắn hoặc trống",
"Bố-Như-Ô-Phạt-Tà","","Bio quá ngắn hoặc trống",
"Phước Sinh","","Bio quá ngắn hoặc trống",
"Tam Tạng Na Đề","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Chân Lạp","","Bio quá ngắn hoặc trống",
"Chấp Sư Tử","","Bio quá ngắn hoặc trống",
"Chùa Từ Ân","","Bio quá ngắn hoặc trống",
"Lăng Già","","Bio quá ngắn hoặc trống",
"Nam Hải","","Bio quá ngắn hoặc trống",
"Trường Phiến","","Bio quá ngắn hoặc trống",
"Bổ Đại thừa Tập nghĩa Luận","","Bio quá ngắn hoặc trống",
"Hoằng pháp","","Bio quá ngắn hoặc trống",
"Phiên dịch kinh luận","","Bio quá ngắn hoặc trống",
"Chọn chùa Từ Ân","","Bio quá ngắn hoặc trống",
"Đến Trung Hoa","","Bio quá ngắn hoặc trống",
"Sang Chân Lạp","","Bio quá ngắn hoặc trống",
"Tìm thuốc ở Côn Lôn","","Bio quá ngắn hoặc trống",
"Trở về chùa cũ","","Bio quá ngắn hoặc trống",
"Cao Tông","","Bio quá ngắn hoặc trống",
"Huyền Trang","","Bio quá ngắn hoặc trống",
"Đại sư Huyền Trang","","Bio quá ngắn hoặc trống",
"Đông Minh Huệ Nhật","","Bio quá ngắn hoặc trống",
"Trực Ông Đức Cử","","Bio quá ngắn hoặc trống",
"Đoan Tế Thiền Sư","","Bio quá ngắn hoặc trống",
"Bách Trượng Sơn","","Bio quá ngắn hoặc trống",
"Chung Lăng","","Bio quá ngắn hoặc trống",
"Đại An Tự","","Bio quá ngắn hoặc trống",
"Huyện Mân","","Bio quá ngắn hoặc trống",
"Long Hưng Tự","","Bio quá ngắn hoặc trống",
"Phúc Châu","","Bio quá ngắn hoặc trống",
"Thiên Thai","","Bio quá ngắn hoặc trống",
"Uyển Lăng","","Bio quá ngắn hoặc trống",
"Truyền Tâm Pháp Yếu","","Bio quá ngắn hoặc trống",
"Khai sáng phái Hoàng Bá","","Bio quá ngắn hoặc trống",
"Chuyển đến Khai Nguyên Tự","","Bio quá ngắn hoặc trống",
"Chuyển đến Long Hưng Tự","","Bio quá ngắn hoặc trống",
"Khai sơn Hoàng Bá Sơn","","Bio quá ngắn hoặc trống",
"Trú tại Đại An Tự","","Bio quá ngắn hoặc trống",
"Xuất gia tại Hoàng Bá Sơn","","Bio quá ngắn hoặc trống",
"Lộ Phủ Diệu Thắng Huyền Mật","","Bio quá ngắn hoặc trống",
"Hoài Châu Huyền Tuyền","","Bio quá ngắn hoặc trống",
"Trì Châu Hòa Long","","Bio quá ngắn hoặc trống",
"Lạc Kinh Bách Cốc","","Bio quá ngắn hoặc trống",
"Hoàng Long Hối Cơ","","Bio quá ngắn hoặc trống",
"TT Trừng Tường Tịnh Trí","","Bio quá ngắn hoặc trống",
"Tây Phong Kỳ Túc Khoát","","Bio quá ngắn hoặc trống",
"Nghĩa Giới","","Bio quá ngắn hoặc trống",
"Lâm Tuyền Tùng Luân","","Bio quá ngắn hoặc trống",
"Hoa Nghiêm Chí Ôn","","Bio quá ngắn hoặc trống",
"Bổn Khê","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Đan Hà","","Bio quá ngắn hoặc trống",
"Chương Tâm Phước Thường","","Bio quá ngắn hoặc trống",
"Chương Nhân Thiện Ðức","","Bio quá ngắn hoặc trống",
"Chương Lành Nguyên Từ","","Bio quá ngắn hoặc trống",
"Khoan Giáo Nhu Hòa","","Bio quá ngắn hoặc trống",
"Khoan Thông Chánh Trí","","Bio quá ngắn hoặc trống",
"Phương Văn Minh Thông","","Bio quá ngắn hoặc trống",
"Quảng Nguyệt Đức Bảo","","Bio quá ngắn hoặc trống",
"Đạo An Phổ Nhuận","","Bio quá ngắn hoặc trống",
"Đạo Thành Như Cảnh","","Bio quá ngắn hoặc trống",
"Đạo Diệu","","Bio quá ngắn hoặc trống",
"Phiệt Tô Mật Đát La","","Bio quá ngắn hoặc trống",
"Thế Hữu","","Bio quá ngắn hoặc trống",
"Bắc Ấn","","Bio quá ngắn hoặc trống",
"Ca Ma La","","Bio quá ngắn hoặc trống",
"Giáo Pháp của Những Trường Phái Khác Nhau","","Bio quá ngắn hoặc trống",
"Tác giả bộ "Giáo Pháp của Những Trường Phái Khác Nhau"","","Bio quá ngắn hoặc trống",
"Biên soạn bộ Luận Tạng Vi Diệu Pháp","","Bio quá ngắn hoặc trống",
"Giáo hóa ở Ca Ma La","","Bio quá ngắn hoặc trống",
"Chủ tọa hội nghị kết tập kinh điển lần thứ tư","","Bio quá ngắn hoặc trống",
"Tôn giả Di Già Ca","","Bio quá ngắn hoặc trống",
"Phật Đà Nan Đề","","Bio quá ngắn hoặc trống",
"Kushina","","Bio quá ngắn hoặc trống",
"Lumbini","","Bio quá ngắn hoặc trống",
"Sính Châu Đồng Tuyền","","Bio quá ngắn hoặc trống",
"Saôghanandi","","Bio quá ngắn hoặc trống",
"Tăng Già Nan Đề","","Bio quá ngắn hoặc trống",
"Tăng Khư Nan Đề","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Chùa của Tổ La Hầu La Đa","","Bio quá ngắn hoặc trống",
"Gốc cây nơi ngài viên tịch","","Bio quá ngắn hoặc trống",
"Hồng cung","","Bio quá ngắn hoặc trống",
"Nước Ma đề","","Bio quá ngắn hoặc trống",
"Thất La Phiệt","","Bio quá ngắn hoặc trống",
"Truyền pháp Thiền Tông","","Bio quá ngắn hoặc trống",
"Đắc pháp","","Bio quá ngắn hoặc trống",
"Xuất gia","","Bio quá ngắn hoặc trống",
"Đồng Thụ","","Bio quá ngắn hoặc trống",
"Đại Nguyệt Chi","","Bio quá ngắn hoặc trống",
"Đán Xóa Thi La","","Bio quá ngắn hoặc trống",
"Miền trung Thiên Trúc","","Bio quá ngắn hoặc trống",
"Sáng lập Kinh Lượng Bộ","","Bio quá ngắn hoặc trống",
"Bồ tát Anh Lạc","","Bio quá ngắn hoặc trống",
"Kiều Thi Ca","","Bio quá ngắn hoặc trống",
"Mã Minh","","Bio quá ngắn hoặc trống",
"Thánh Đề Bà","","Bio quá ngắn hoặc trống",
"Thế Thân","","Bio quá ngắn hoặc trống",
"Đạo Giả Giang Châu Song Khê Điền","","Bio quá ngắn hoặc trống",
"TT Thích Đồng Chơn","","Bio quá ngắn hoặc trống",
"Vô Chuẩn Sư Phạm","","Bio quá ngắn hoặc trống",
"Phá Am Tổ Tiên","","Bio quá ngắn hoặc trống",
"Tuyết Nham Tổ Khâm","","Bio quá ngắn hoặc trống",
"Kiền Châu Xứ Vy","","Bio quá ngắn hoặc trống",
"Đức Nhuận Thanh Thiệu","","Bio quá ngắn hoặc trống",
"Mật Ứng Huyền Cơ","","Bio quá ngắn hoặc trống",
"Diễn Triệt Hư Vân","","Bio quá ngắn hoặc trống",
"Bồ Đề Quang Dụng","","Bio quá ngắn hoặc trống",
"Khánh Thiện Thủ Long","","Bio quá ngắn hoặc trống",
"Đột Không Trí Bản","","Bio quá ngắn hoặc trống",
"Bích Thiên Thanh Không","","Bio quá ngắn hoặc trống",
"Tịnh Từ Bích","","Bio quá ngắn hoặc trống",
"Tịnh Từ Trọng Kiểu","","Bio quá ngắn hoặc trống",
"Chương Niệm Quảng Giác","","Bio quá ngắn hoặc trống",
"Chương Tánh Quảng Nhuận","","Bio quá ngắn hoặc trống",
"Chương Hương Chí Thắng","","Bio quá ngắn hoặc trống",
"Chương Tân Chánh Nhân","","Bio quá ngắn hoặc trống",
"Thụy Long Ẩn Chương","","Bio quá ngắn hoặc trống",
"Cảm Thành","","Bio quá ngắn hoặc trống",
"Thủy Lục Hồng Nghiễm","","Bio quá ngắn hoặc trống",
"Đông Thiền Khả Long","","Bio quá ngắn hoặc trống",
"Hàng Châu Bảo An Liên","","Bio quá ngắn hoặc trống",
"Long Hoa Chí Cầu","","Bio quá ngắn hoặc trống",
"Long Hoa Khế Doanh","","Bio quá ngắn hoặc trống",
"Báo Từ Tùng Hoài","","Bio quá ngắn hoặc trống",
"Thứu Lãnh Minh Viễn","","Bio quá ngắn hoặc trống",
"Tường Quang Trừng Tịnh","","Bio quá ngắn hoặc trống",
"Long Tu Đạo Ân","","Bio quá ngắn hoặc trống",
"Tân La Quy Sơn","","Bio quá ngắn hoặc trống",
"Mân Sơn Linh Hàm","","Bio quá ngắn hoặc trống",
"Thiên Tông Thủ Phê","","Bio quá ngắn hoặc trống",
"Vĩnh An Hoài Liệt","","Bio quá ngắn hoặc trống",
"Trường Khánh Hoằng Biện","","Bio quá ngắn hoặc trống",
"Đông Thiền Khế Nột","","Bio quá ngắn hoặc trống",
"Chẩm Phong Thanh Hoán","","Bio quá ngắn hoặc trống",
"Phước Châu Thạch Phật Tịnh","","Bio quá ngắn hoặc trống",
"Quảng Nghiêm Hàm Trạch","","Bio quá ngắn hoặc trống",
"Trường Khánh Thường Tuệ","","Bio quá ngắn hoặc trống",
"Báo Từ Tuệ Lãng","","Bio quá ngắn hoặc trống",
"Khai Tiên Thiệu Tông","","Bio quá ngắn hoặc trống",
"Thúy Phong Tùng Hân","","Bio quá ngắn hoặc trống",
"Báo Ân Bảo Tư","","Bio quá ngắn hoặc trống",
"Chiêu Khánh Pháp Nhân","","Bio quá ngắn hoặc trống",
"Báo Từ Quang Vân","","Bio quá ngắn hoặc trống",
"Khuynh Tâm Pháp Diễm","","Bio quá ngắn hoặc trống",
"Toàn Hiệu Gia Linh","","Bio quá ngắn hoặc trống",
"Gia Tiền","","Bio quá ngắn hoặc trống",
"Thiên Thai Vân Cư Trí","","Bio quá ngắn hoặc trống",
"Đạo Dụng Đức Quảng","","Bio quá ngắn hoặc trống",
"Kiến Sơn Kiên","","Bio quá ngắn hoặc trống",
"Bách Trượng Xiêm","","Bio quá ngắn hoặc trống",
"Thái Thú Hứa Thức Lang Trung","","Bio quá ngắn hoặc trống",
"Phật Nhật Khế Tung","","Bio quá ngắn hoặc trống",
"Đại Quy Hoài Hựu","","Bio quá ngắn hoặc trống",
"Vân Cư Hiểu Thuấn","","Bio quá ngắn hoặc trống",
"Sùng Thọ Khế Điều","","Bio quá ngắn hoặc trống",
"Thiên Đồng Tử Ngưng","","Bio quá ngắn hoặc trống",
"Chương Đàn Huyền Đạt","","Bio quá ngắn hoặc trống",
"Na Hòa Tu","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Thiết Nặc Ca","","Bio quá ngắn hoặc trống",
"Thương Na Hòa Tu","","Bio quá ngắn hoặc trống",
"Thương Nặc Ca","","Bio quá ngắn hoặc trống",
"Thương Nặc Ca Phược Sa","","Bio quá ngắn hoặc trống",
"Xá Na Ba Tư","","Bio quá ngắn hoặc trống",
"Ma Thâu Đà","","Bio quá ngắn hoặc trống",
"núi Phạm Ca La","","Bio quá ngắn hoặc trống",
"núi Tượng Bạch","","Bio quá ngắn hoặc trống",
"núi Tuyết","","Bio quá ngắn hoặc trống",
"Trá lợi","","Bio quá ngắn hoặc trống",
"Ưu Lưu Trà","","Bio quá ngắn hoặc trống",
"Vương Xá","","Bio quá ngắn hoặc trống",
"Chủ trì cuộc kết tập kinh điển lần thứ hai","","Bio quá ngắn hoặc trống",
"Hoằng pháp tại Kế Tân","","Bio quá ngắn hoặc trống",
"Hoằng pháp tại Ma Thâu Đà","","Bio quá ngắn hoặc trống",
"Xuất gia","","Bio quá ngắn hoặc trống",
"Mạc Điền","","Bio quá ngắn hoặc trống",
"Bà Xá Tư Đa","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Ca Thắng","","Bio quá ngắn hoặc trống",
"Đắc Thắng","","Bio quá ngắn hoặc trống",
"Thiên Đức","","Bio quá ngắn hoặc trống",
"Vô Ngã Tôn","","Bio quá ngắn hoặc trống",
"Thanh Thuần Hạnh Nhã","","Bio quá ngắn hoặc trống",
"Tánh Trí Giác Quang","","Bio quá ngắn hoặc trống",
"Thị An Diệu Thọ","","Bio quá ngắn hoặc trống",
"Thị Chi Diệu Quả","","Bio quá ngắn hoặc trống",
"Diên Khánh Thông Tánh","","Bio quá ngắn hoặc trống",
"Tiến Phúc Đạo Sinh","","Bio quá ngắn hoặc trống",
"Nguyên Tín Châu Đức","","Bio quá ngắn hoặc trống",
"Nguyên Cao Mãn Giác","","Bio quá ngắn hoặc trống",
"La Hán Quế Sâm","","Bio quá ngắn hoặc trống",
"Nam Đài Thủ An","","Bio quá ngắn hoặc trống",
"Thiên Long Trọng Cơ","","Bio quá ngắn hoặc trống",
"Quốc Thanh Sư Tịnh","","Bio quá ngắn hoặc trống",
"Phước Châu Vĩnh Hưng Lộc","","Bio quá ngắn hoặc trống",
"Đại Chương Khế Như","","Bio quá ngắn hoặc trống",
"Vân Phong Quang Tự","","Bio quá ngắn hoặc trống",
"Tuyền Châu Thùy Long","","Bio quá ngắn hoặc trống",
"Vụ Châu Quốc Thái Thao","","Bio quá ngắn hoặc trống",
"Loa Phong Xung Áo","","Bio quá ngắn hoặc trống",
"Hành Nhạc Nam Đài Thành","","Bio quá ngắn hoặc trống",
"An Quốc Tuệ Cầu","","Bio quá ngắn hoặc trống",
"Bạch Long Đạo Hy","","Bio quá ngắn hoặc trống",
"Thiên Tông Khế Phù","","Bio quá ngắn hoặc trống",
"Nguyệt Khê Diệu Trừng","","Bio quá ngắn hoặc trống",
"Khoan Tịnh","","Bio quá ngắn hoặc trống",
