Tên,Lineage,Issues,URI
"Phụng Thê Tuệ Chí","","Bio quá ngắn hoặc trống",
"Hàng Châu Phật Nhật","","Bio quá ngắn hoặc trống",
"Trừng Thanh Tịnh Nhãn","","Bio quá ngắn hoặc trống",
"Cư Sĩ Mạc Tướng Thượng Thư Thiếu Hư","","Bio quá ngắn hoặc trống",
"Ngọc Tuyền Ngộ Không","","Bio quá ngắn hoặc trống",
"Chánh Nhạc Bổn Siêu","","Bio quá ngắn hoặc trống",
"Thủ Đạo Tục Tiên","","Bio quá ngắn hoặc trống",
"Vĩnh Xướng Giác Thừa","","Bio quá ngắn hoặc trống",
"Thường Châu Thương Lãnh","","Bio quá ngắn hoặc trống",
"Phước Châu Toái Thạch","","Bio quá ngắn hoặc trống",
"Thường Châu Nghĩa Hưng","","Bio quá ngắn hoặc trống",
"Hành Châu Đạo Sần","","Bio quá ngắn hoặc trống",
"Chữ Kính","","Bio quá ngắn hoặc trống",
"Bảo Thông","","Bio quá ngắn hoặc trống",
"Hán Châu Thường Thanh","","Bio quá ngắn hoặc trống",
"Hải Lăng Đại Biện","","Bio quá ngắn hoặc trống",
"N Linh Chiếu","","Bio quá ngắn hoặc trống",
"Thiện Đạo","","Bio quá ngắn hoặc trống",
"Giang Tô Linh Mặc","","Bio quá ngắn hoặc trống",
"Phan Quang Tịnh Xán","","Bio quá ngắn hoặc trống",
"Cửu Mặc Đại Âm","","Bio quá ngắn hoặc trống",
"Cô Nhai Tịnh Thông","","Bio quá ngắn hoặc trống",
"Nguyên Khiết Tịnh Oánh","","Bio quá ngắn hoặc trống",
"Vân Tông Tịnh Nột","","Bio quá ngắn hoặc trống",
"Ban Nhã Tịnh Lữ","","Bio quá ngắn hoặc trống",
"Phá Ám Tịnh Đăng","","Bio quá ngắn hoặc trống",
"Thạch Vũ Minh Phương","","Bio quá ngắn hoặc trống",
"Tam Nghi Minh Vu","","Bio quá ngắn hoặc trống",
"Chương Lý Hoằng Hóa","","Bio quá ngắn hoặc trống",
"Chương Hải Thanh Nguyên","","Bio quá ngắn hoặc trống",
