"monk","label"
"ex:monk/cuu_danh_tue_tuyen","Cửu Đảnh Tuệ Tuyền"
"ex:monk/cuu_danh_to","Cửu Đảnh Tố"
"ex:monk/di_phong_kinh_ninh","Di Phong Kính Ninh"
"ex:monk/diem_quan_te_an","Diêm Quan Tề An"
"ex:monk/dien_khanh_hong_chuan","Diên Khánh Hồng Chuẩn"
"ex:monk/dien_khanh_phap_doan","Diên Khánh Pháp Đoan"
"ex:monk/dien_khanh_thuc","Diên Khánh Thúc"
"ex:monk/dien_phuc_tue_thang","Diên Phúc Tuệ Thăng"
"ex:monk/duc_vuong_doan_du","Diên Phúc Tuệ Thăng"
"ex:monk/dien_triet_hu_van","Diễn Triệt Hư Vân"
"ex:monk/diep_huyen_quy_tinh","Diệp Huyện Quy Tỉnh"
"ex:monk/dieu_lien_thanh_hoa","Diệu Liên Thánh Hóa"
"ex:monk/dieu_tue","Diệu Tuệ"
"ex:monk/duy_sieu_nang_xan","Duy Siêu Năng Xán"
"ex:monk/duy_thanh_linh_nguyen","Duy Thanh Linh Nguyên"
"ex:monk/duyet_chau_hang_ma_tang","Duyện Châu Hàng Ma Tạng"
"ex:monk/duong_chau_tue_giac","Dương Châu Tuệ Giác"
"ex:monk/duong_chau_te_mat","Dương Châu Tề Mật"
"ex:monk/duong_ky_chan_thuc","Dương Kỳ Chân Thúc"
"ex:monk/duong_ky_phuong_hoi","Dương Kỳ Phương Hội"
"ex:monk/duoc_lam_thach_quan","Dược Lâm Thạch Quan"
"ex:monk/duoc_son_duy_nghiem","Dược Sơn Duy Nghiễm"
"ex:monk/duoc_son_sa_di_cao","Dược Sơn Sa Di Cao"
"ex:monk/duc_vuong_gioi_kham","Dục Vương Giới Kham"
"ex:monk/duc_vuong_phap_dat","Dục Vương Pháp Ðạt"
"ex:monk/duc_vuong_tinh_dam","Dục Vương Tịnh Ðàm"
"ex:monk/duc_vuong_doan_du","Dục Vương Ðoan Dụ"
"ex:monk/duc_vuong_dai_quan","Dục Vương Đại Quan"
"ex:monk/duc_vuong_duc_quang","Dục Vương Đại Quan"
"ex:monk/duc_vuong_duc_quang","Dục Vương Đức Quang"
"ex:monk/gia_tien","Gia Tiền"
"ex:monk/gia_tuong_cat_tang","Gia Tường Cát Tạng"
"ex:monk/giang_chau_long_van_dai","Giang Châu Long Vân Đài"
"ex:monk/giang_chau_ly_bot","Giang Châu Lý Bột"
"ex:monk/giang_chau_song_khe_dien","Giang Châu Song Khê Điền"
"ex:monk/giang_tay_bai_tho","Giang Tây Bại Thọ"
"ex:monk/giang_tay_chi_triet","Giang Tây Chí Triệt"
"ex:monk/dong_son_te_vi","Giác A"
"ex:monk/giac_a","Giác A"
"ex:monk/giac_bao_thanh","Giác Báo Thanh"
"ex:monk/giac_tam","Giác Tâm"
"ex:monk/giao_trung_di_quang","Giáo Trung Di Quang"
"ex:monk/giap_son_hieu_thuan","Giáp Sơn Hiểu Thuần"
"ex:monk/gioi_hai_vinh_tu","Giới Hải Vĩnh Từ"
"ex:monk/hiep_ton_gia","Hiếp Tôn Giả"
"ex:monk/hien_ninh_vien_tri","Hiển Ninh Viên Trí"
"ex:monk/hoa_duoc_nghia_nhien","Hoa Dược Nghĩa Nhiên"
"ex:monk/hoa_duoc_nguyen_cung","Hoa Dược Nguyên Cung"
