"monk","label"
"ex:monk/tu_van_dao","Từ Vân Ðạo"
"ex:monk/tu_bach_chan_kha","Tử Bách Chân Khả"
"ex:monk/tu_ho_ly_tong","Tử Hồ Lý Tông"
"ex:monk/tu_lang_tu_du","Tử Lăng Tự Du"
"ex:monk/tu_ngoc_dao_thong","Tử Ngọc Đạo Thông"
"ex:monk/tu_dong","Tử Đồng"
"ex:monk/ty_ni_da_luu_chi","Tỳ Ni Đa Lưu Chi"
"ex:monk/u_chau_hong_loa","U Châu Hồng Loa"
"ex:monk/u_chau_dam_khong","U Châu Đàm Không"
"ex:monk/vien_ngo_khac_can","Viên Ngộ Khắc Cần Phật Quả"
"ex:monk/vien_thong_thu_tue","Viên Thông Thủ Tuệ"
"ex:monk/vien_thong_dao_man","Viên Thông Ðạo Mân"
"ex:monk/vien_van_chuyet_cong","Viên Văn Chuyết Công"
"ex:monk/van_cai_thu_tri","Vân Cái Thủ Trí"
"ex:monk/van_cai_tri_ban","Vân Cái Trí Bản"
"ex:monk/van_cu_nguyen_huu","Vân Cư Nguyên Hựu"
"ex:monk/van_cu_nang","Vân Cư Năng"
"ex:monk/van_cu_phap_nhu","Vân Cư Pháp Như"
"ex:monk/van_cu_thien_ngo","Vân Cư Thiện Ngộ"
"ex:monk/van_cu_tong_chan","Vân Cư Tông Chấn"
"ex:monk/van_cu_tu_vien","Vân Cư Tự Viên"
"ex:monk/van_cu_duc_hoi","Vân Cư Ðức Hội"
"ex:monk/van_cu_duc_thang","Vân Cư Ðức Thăng"
"ex:monk/van_mon_hien_kham","Vân Môn Hiển Khâm"
"ex:monk/van_nham_thien_du","Vân Nham Thiên Du"
"ex:monk/van_nham_dam_thanh","Vân Nham Đàm Thạnh"
"ex:monk/van_phong_tue_xuong","Vân Phong Tuệ Xướng"
"ex:monk/van_phong_dao_vien","Vân Phong Ðạo Viên"
"ex:monk/van_son","Vân Sơn"
"ex:monk/pha_am_to_tien","Vô Chuẩn Sư Phạm"
"ex:monk/vo_chuan_su_pham","Vô Chuẩn Sư Phạm"
"ex:monk/bach_van_khong_do","Vô Huyễn Tịnh Xung"
"ex:monk/vo_huyen_tinh_xung","Vô Huyễn Tịnh Xung"
"ex:monk/vo_mon_hue_khai","Vô Môn Huệ Khai"
"ex:monk/vo_ngon_thong","Vô Ngôn Thông"
"ex:monk/bach_van_khong_do","Vô Tận Tuệ Hải"
"ex:monk/vo_tan_tue_hai","Vô Tận Tuệ Hải"
"ex:monk/vo_minh_te_ngo","Vô Tế Minh Ngộ"
"ex:monk/vo_vi_thu_duyen","Vô Vi Thủ Duyên"
"ex:monk/vo_vi_tong_thai","Vô Vi Tông Thái"
"ex:monk/vo_tuyen_son_chinh","Võ Tuyền Sơn Chính"
"ex:monk/vo_dang_phat_nham_huy","Võ Đang Phật Nham Huy"
"ex:monk/van_thu_tam_dao","Văn Thù Tâm Đạo"
"ex:monk/van_thu_tu_nghiep","Văn Thù Tư Nghiệp"
"ex:monk/vinh_an_dieu_hy","Vĩnh An Diệu Hỷ"
"ex:monk/vinh_an_nguyen_chanh","Vĩnh An Nguyên Chánh"
"ex:monk/vinh_gia_huyen_giac","Vĩnh Gia Huyền Giác"
"ex:monk/vinh_khanh_quang_pho","Vĩnh Khánh Quang Phổ"
"ex:monk/vinh_phuoc_dien_chieu","Vĩnh Phước Diên Chiếu"
"ex:monk/vinh_xuong_giac_thua","Vĩnh Xướng Giác Thừa"
"ex:monk/van_nien_dam_bi","Vạn Niên Đàm Bí"
"ex:monk/van_nien_dao_nhan","Vạn Niên Đạo Nhàn"
"ex:monk/van_phong_thoi_uy","Vạn Phong Thời Ủy"
"ex:monk/van_sam_thieu_tu","Vạn Sam Thiệu Từ"
"ex:monk/van_tho_phap_thuyen","Vạn Thọ Pháp Thuyên"
"ex:monk/van_tho_pho_tin","Vạn Thọ Phổ Tín"
"ex:monk/van_tho_ung_thanh","Vạn Thọ Ứng Thành"
"ex:monk/ve_quoc_kinh_trieu_dao","Vệ Quốc Kinh Triệu Đạo"
"ex:monk/vu_chau_huyen_sach","Vụ Châu Huyền Sách"
"ex:monk/vu_chau_tan_kien","Vụ Châu Tân Kiến"
"ex:monk/hoang_long_hue_nam","hoang_long_hue_nam"
"ex:monk/ich_chau_truong_binh","Ích Châu Trường Bình"
"ex:monk/ich_chau_tay_muc","Ích Châu Tây Mục"
"ex:monk/ich_chau_vo_tuong","Ích Châu Vô Tướng"
"ex:monk/ich_chau_ung_thien","Ích Châu Ứng Thiên"
"ex:monk/lenh_nhan_minh_that","Ðạo Nhân Lệnh Nhân Minh Thất"
"ex:monk/ngo_thap_tam","Ðạo Nhân Ngô Thập Tam"
"ex:monk/ong_chanh_tinh_giac","Ðồng Chánh Tịnh Giác"
"ex:monk/ong_chanh_tinh_nhu","Ðồng Chánh Tịnh Như"
"ex:monk/ong_chon_thong_niem","Ðồng Chơn Thông Niệm"
"ex:monk/ong_huy_quang_tu","Ðồng Huy Quảng Tú"
"ex:monk/ong_kinh_tin_qua","Ðồng Kỉnh Tín Quả"
"ex:monk/ong_phuoc_thong_buu","Ðồng Phước Thông Bửu"
"ex:monk/ong_ien","Ðồng Ðiển"
"ex:monk/ong_o_tinh_khiet","Ðồng Ðộ Tịnh Khiết"
"ex:monk/dong_son_chi_can","Ðộng Sơn Chí Càn"
"ex:monk/o_cuu","Ô Cựu"
"ex:monk/o_hoi_luong_pham","Ô Hồi Lương Phạm"
"ex:monk/o_nhai_so","Ô Nhai Sở"
"ex:monk/o_thach_linh_quan","Ô Thạch Linh Quán"
"ex:monk/on_chau_phat_ao","Ôn Châu Phật Áo"
"ex:monk/thua_vien","ĐS Thừa Viễn"
"ex:monk/dinh_bao_phong_tri","Đinh Bảo Phong Trí"
"ex:monk/dinh_chau_thuy_duong","Đinh Châu Thủy Đường"
"ex:monk/dieu_khoa_dao_lam","Điểu Khòa Đạo Lâm"
"ex:monk/doan_huc_nhu_hoang","Đoan Húc Như Hoằng"
"ex:monk/doan_vien_chieu_hoa","Đoan Viên Chiếu Hóa"
"ex:monk/doan_kieu_dieu_luan","Đoạn Kiều Diệu Luân"
"ex:monk/dam_chau_hoa_lam","Đàm Châu Hoa Lâm"
"ex:monk/kinh_trieu_thi_loi","Đàm Châu Hoa Lâm"
"ex:monk/dam_chau_long_son","Đàm Châu Long Sơn"
"ex:monk/dam_chau_thach_suong_lam","Đàm Châu Thạch Sương Lâm"
"ex:monk/dam_chau_trung_van_cai","Đàm Châu Trung Vân Cái"
"ex:monk/dam_chau_van_cai_canh","Đàm Châu Trung Vân Cái"
"ex:monk/dam_chau_truong_ty_khoang","Đàm Châu Trường Tỳ Khoáng"
"ex:monk/dam_chau_tu_khe","Đàm Châu Tú Khê"
"ex:monk/dam_chau_tong_an","Đàm Châu Tổng Ấn"
"ex:monk/dam_chau_van_cai_canh","Đàm Châu Vân Cái Cảnh"
"ex:monk/dam_chau_dai_xuyen","Đàm Châu Đại Xuyên"
"ex:monk/dau_suat_chi_an","Đâu Suất Chí Ân"
"ex:monk/dau_suat_tue_chieu","Đâu Suất Tuệ Chiếu"
"ex:monk/dau_suat_tung_duyet","Đâu Suất Tùng Duyệt"
"ex:monk/do_luong_ton_thuc","Đô Lương Tồn Thực"
"ex:monk/dong_duong_huyen_sach","Đông Dương Huyền Sách"
"ex:monk/dong_lam_tu_tuan","Đông Lâm Tự Tuân"
"ex:monk/dong_lam_dao_nhan","Đông Lâm Đạo Nhan"
"ex:monk/dong_minh_nhan_tien","Đông Minh Nhân Tiên"
"ex:monk/dong_minh_thien","Đông Minh Thiên"
"ex:monk/dong_son_cat","Đông Sơn Cát"
"ex:monk/dong_son_giac","Đông Sơn Giác"
"ex:monk/dong_son_pham_ngon","Đông Sơn Phạm Ngôn"
"ex:monk/dong_son_te_vi","Đông Sơn Tề Vĩ"
"ex:monk/dong_thien_duy_tu","Đông Thiền Duy Tư"
"ex:monk/dong_thien_tung_mat","Đông Thiền Tùng Mật"
"ex:monk/dong_thien_tu_nhac","Đông Thiền Tư Nhạc"
"ex:monk/dang_van_sieu_cap","Đăng Vân Siêu Cập"
"ex:monk/don_ha_nghia_an","Đơn Hà Nghĩa An"
"ex:monk/don_ha_thien_nhien","Đơn Hà Thiên Nhiên"
"ex:monk/dai_an_thanh_can","Đại An Thanh Cán"
"ex:monk/dai_chau_hue_hai","Đại Châu Huệ Hải"
"ex:monk/dai_duong","Đại Dương"
"ex:monk/dai_giac_nguy_phu","Đại Giác Ngụy Phủ"
"ex:monk/dai_hong_to_chung","Đại Hồng Tổ Chứng"
"ex:monk/lao_na_tu_dang_dai_hoang","Đại Hồng Tổ Chứng"
"ex:monk/dai_mai_phap_thuong","Đại Mai Pháp Thường"
"ex:monk/dai_ngu_thu_chi","Đại Ngu Thủ Chi"
"ex:monk/dai_quy_hoai_tu","Đại Quy Hoài Tú"
"ex:monk/dai_quy_hanh","Đại Quy Hạnh"
"ex:monk/dai_quy_hai_binh","Đại Quy Hải Bình"
"ex:monk/dai_quy_mo_triet","Đại Quy Mộ Triết"
"ex:monk/dai_quy_phap_thai","Đại Quy Pháp Thái"
"ex:monk/dai_quy_thien_qua","Đại Quy Thiện Quả"
"ex:monk/dai_quy_te_tuan","Đại Quy Tề Tuân"
"ex:monk/dai_quy_to_xuan","Đại Quy Tổ Xuân"
"ex:monk/dai_thua_duc_tuan","Đại Thừa Ðức Tuân"
"ex:monk/dai_trung_lam_chi","Đại Trung Lập Chí"
"ex:monk/dai_trung_tuong_phu_hai","Đại Trung Tường Phù Hải"
"ex:monk/dai_tuy_nguyen_tinh","Đại Tùy Nguyên Tỉnh"
"ex:monk/dai_tu_hoan_trung","Đại Từ Hoàn Trung"
"ex:monk/dai_dong_quang_trung","Đại Đồng Quảng Trừng"
"ex:monk/giang_chau_song_khe_dien","Đạo Giả Giang Châu Song Khê Điền"
"ex:monk/dao_minh_hue_sam","Đạo Minh Huệ Sảm"
"ex:monk/dao_man_moc_tran","Đạo Mân Mộc Trần"
"ex:monk/dao_ngo_nhu_nang","Đạo Ngô Nhữ Năng"
"ex:monk/dao_ngo_so_phuong","Đạo Ngô Sở Phương"
"ex:monk/dao_ngo_trong_vien","Đạo Ngô Trọng Viên"
"ex:monk/dao_ngo_vien_tri","Đạo Ngô Viên Trí"
"ex:monk/giac_am_to_thi","Đạo Nhân Giác Am Tổ Thị"
"ex:monk/dao_nhan_tich_lac","Đạo Nhẫn Tịch Lạc"
"ex:monk/dao_phu","Đạo Phủ"
"ex:monk/dao_trang_cu_tue","Đạo Tràng Cư Tuệ"
"ex:monk/dao_trang_minh_bien","Đạo Tràng Minh Biện"
"ex:monk/dao_trang_nhu_not","Đạo Tràng Như Nột"
"ex:monk/dao_trang_pho_nham","Đạo Tràng Phổ Nham"
"ex:monk/dao_trang_tue_lam","Đạo Tràng Tuệ Lâm"
"ex:monk/dao_tuyen","Đạo Tuyên"
"ex:monk/nam_nhac_minh_toan","Đạo Tuyên"
"ex:monk/ngo_thap_tam","Đạo nhân Ngô Thập Tam"
"ex:monk/dat_khoan_chanh_an","Đạt Khoan Chánh An"
"ex:monk/dat_khuong_vien_giac","Đạt Khương Viên Giác"
"ex:monk/dat_luong_hung_long","Đạt Lượng Hưng Long"
"ex:monk/dat_thuyen_nhut_chanh","Đạt Thuyên Nhựt Chánh"
"ex:monk/dau_tu_dai_dong","Đầu Tử Đại Đồng"
"ex:monk/dang_giac_pho_minh","Đẳng Giác Phổ Minh"
"ex:monk/dinh_phong_qua_thanh","Đỉnh Phong Quả Thành"
"ex:monk/dinh_chau_thien_thoi","Định Châu Thiện Thôi"
"ex:monk/dinh_hue_sieu_tin","Định Huệ Siêu Tín"
"ex:monk/hung_hoa_nhan_nhac","Định Lâm Cảnh Phượng"
"ex:monk/dinh_lam_tue_sam","Định Lâm Tuệ Sâm"
"ex:monk/dong_an_dieu_tri","Đồng An Diệu Trí"
"ex:monk/dong_nguyen_thien_nguyen","Đồng Nguyện Thiện Nguyện"
"ex:monk/dong_qua_thien_phuoc","Đồng Quả Thiện Phước"
"ex:monk/dd_dong_thien_thien_an","Đồng Thiện Thiện Ân"
"ex:monk/dong_tri_bao_hue","Đồng Trí Bảo Huệ"
"ex:monk/dong_an","Động An"
"ex:monk/dong_son_bien","Động Sơn Biện"
"ex:monk/dong_son_pham_ngon","Động Sơn Trạch Ngôn"
"ex:monk/dong_son_trach_ngon","Động Sơn Trạch Ngôn"
"ex:monk/dong_dinh_tue_nguyet","Động Đình Tuệ Nguyệt"
"ex:monk/quang_tue_nguyen_lien","Động Đình Tuệ Nguyệt"
"ex:monk/bach_van_khong_do","Đột Không Trí Bản"
"ex:monk/dot_khong_tri_ban","Đột Không Trí Bản"
"ex:monk/duc_son_tuyen_giam","Đức Sơn Tuyên Giám"
"ex:monk/duc_son_tu_quyen","Đức Sơn Tử Quyên"
"ex:monk/duc_thien_nhan_hoi","Đức Thiền Nhân Hội"
"ex:monk/an_binh_buu_quang","Ấn Bình Bửu Quang"
"ex:monk/an_binh_pho_bao","Ấn Bính Phổ Bảo"
"ex:monk/an_bao_chanh_nhon","Ấn Bảo Chánh Nhơn"
"ex:monk/an_bao_chanh_nhon","Ấn Bảo Chánh Nhơn"
"ex:monk/an_bon_vinh_gia","Ấn Bổn Vĩnh Gia"
"ex:monk/an_chanh_hue_minh","Ấn Chánh Huệ Minh"
""ex:monk/an_chanh_hue_minh","Ấn Chánh Huệ Minh""
"ex:monk/an_chi_hoang_chinh","Ấn Chí Hoằng Chỉnh"
"ex:monk/an_cu_hoang_tri","Ấn Cứ Hoằng Tri"
"ex:monk/an_dieu_tu_nhan","Ấn Diệu Từ Nhẫn"
"ex:monk/an_hoa_to_duong","Ấn Hoa Tổ Đường"
"ex:monk/an_huong_phap_nhan","Ấn Hướng Pháp Nhãn"
"ex:monk/an_kim_hoang_tinh","Ấn Kim Hoằng Tịnh"
"ex:monk/an_lan_tu_tri","Ấn Lan Từ Trí"
"ex:monk/an_long_thien_quoi","Ấn Long Thiện Quới"
"ex:monk/an_luan_hoang_hoa","Ấn Luân Hoằng Hóa"
"ex:monk/an_lanh_hoang_thac","Ấn Lãnh Hoằng Thạc"
"ex:monk/an_nghiem_pho_thoai","Ấn Nghiêm Phổ Thoại"
"ex:monk/an_ngan_tin_thanh","Ấn Ngân Tín Thành"
"ex:monk/an_nhu_hue_huong","Ấn Như Huệ Hương"
"ex:monk/an_phuoc_chi_thanh","Ấn Phước Chí Thành"
"ex:monk/an_tham_hoang_phuc","Ấn Tham Hoằng Phúc"
"ex:monk/an_thanh_chi_thanh","Ấn Thanh Chí Thành"
"ex:monk/an_thien_hue_nhan","Ấn Thiên Huệ Nhãn"
"ex:monk/an_thi_hoang_quan","Ấn Thị Hoằng Quán"
"ex:monk/an_tin_hue_nhat","Ấn Tín Huệ Nhật"
"ex:monk/an_tinh_hoang_thanh","Ấn Tịnh Hoằng Thanh"
"ex:monk/an_to_phuoc_minh","Ấn Tổ Phước Minh"
"ex:monk/an_tung_hoang_niem","Ấn Tụng Hoằng Niệm"
"ex:monk/an_doan_hoang_nghia","Ấn Đoan Hoằng Nghĩa"
"ex:monk/an_dai_van_hanh","Ấn Đại Vạn Hạnh"
"ex:monk/an_dinh_hue_dang","Ấn Định Huệ Đăng"
"ex:monk/an_tinh_ngan_sam","Ẩn Tỉnh Ngạn Sầm"
