STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
141,PL000000000101,,三國吳,32.0514,118.778,中國-江蘇省;中國-浙江省;中國-安徽省;中國-福建省;中國-上海市;中國-江西省;中國-湖北省;中國-湖南省;中國-廣東省;中國-廣西壯族自治區;中國-海南省;越南,DILA,master,,
142,PL000000000102,,西晉,34.7203,112.6193,,DILA,master,,
143,PL000000000103,,東晉,32.0514,118.778,,DILA,master,,
144,PL000000000104,,齊國,32.0514,118.778,,DILA,master,,
145,PL000000000105,,隋,34.6646,112.3918,,DILA,master,,
146,PL000000000106,,唐國,34.2662,108.9532,,DILA,master,,
147,PL000000000107,,北宋,34.7591,114.4351,,DILA,master,,
148,PL000000000108,,南宋,30.2928,120.1775,,DILA,master,,
149,PL000000000109,,金朝,39.8736,116.3543,,DILA,master,,
150,PL000000000110,,契丹,41.5731,119.1814,中國-黑龍江省;中國-遼寧省;中國-吉林省;中國-內蒙古自治區;中國-北京市;中國-河北省;俄羅斯-遠東聯邦管區：Дальневосточныйфедеральныйокруг(FarEasternFederalDistrict),DILA,master,,
151,PL000000000111,,元,39.9306,116.3779,,DILA,master,,
152,PL000000000112,,朱明,39.9306,116.3779,,DILA,master,,
153,PL000000000113,,大清,39.9306,116.3779,中國;蒙古;俄羅斯-遠東聯邦管區：Дальневосточныйфедеральныйокруг(FarEasternFederalDistrict)-Khabarovsk;俄羅斯-遠東聯邦管區：Дальневосточныйфедеральныйокруг(FarEasternFederalDistrict)-Primor’ye;俄羅斯-遠東聯邦管區：Дальневосточныйфедеральныйокруг(FarEasternFederalDistrict)-Yevrey;俄羅斯-遠東聯邦管區：Дальневосточныйфедеральныйокруг(FarEasternFederalDistrict)-Sakhalin,DILA,master,,
154,PL000000000114,,西夏,38.467,106.2833,,DILA,master,,
155,PL000000000115,,哈剌契丹,42.7653,75.5204,,DILA,master,,
156,PL000000000117,,孟蜀,30.6501,104.0864,,DILA,master,,
157,PL000000000118,,南漢,23.1335,113.2643,,DILA,master,,
