ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/duc_son_tu_quyen","Đức Sơn Tử Quyên"
"ex:monk/duc_son_tuyen_giam","Đức Sơn Tuyên Giám"
"ex:monk/duc_thien_nhan_hoi","Đức Thiền Nhân Hội"
"ex:monk/duc_vuong_dai_quan","Dục Vương Đại Quan"
"ex:monk/duc_vuong_doan_du","Diên Phúc Tuệ Thăng"
"ex:monk/duc_vuong_doan_du","Dục Vương Ðoan Dụ"
"ex:monk/duc_vuong_duc_quang","Dục Vương Đại Quan"
"ex:monk/duc_vuong_duc_quang","Dục Vương Đức Quang"
"ex:monk/duc_vuong_gioi_kham","Dục Vương Giới Kham"
"ex:monk/duc_vuong_hoang_thong","Dục Vương Hoằng Thông"
"ex:monk/duc_vuong_phap_dat","Dục Vương Pháp Ðạt"
"ex:monk/duc_vuong_tinh_dam","Dục Vương Tịnh Ðàm"
"ex:monk/duc_vuong_tuan_phac","Dục Vương Tuân Phác"
"ex:monk/duoc_lam_thach_quan","Dược Lâm Thạch Quan"
"ex:monk/duoc_lam_thanh_quan","Dược Lâm Thạch Quan"
"ex:monk/duoc_son_duy_nghiem","Dược Sơn Duy Nghiễm"
"ex:monk/duoc_son_quy","Dược Sơn Quỳ"
"ex:monk/duoc_son_sa_di_cao","Dược Sơn Sa Di Cao"
"ex:monk/duoc_son_vien_quang","Dược Sơn Viên Quang"
"ex:monk/duong_chau_dai_nham_bach","Dương Châu Đại Nham Bạch"
"ex:monk/duong_chau_phong_hoa","Dương Châu Phong Hóa"
"ex:monk/duong_chau_te_mat","Dương Châu Tề Mật"
"ex:monk/duong_chau_tue_giac","Dương Châu Tuệ Giác"
"ex:monk/duong_chau_tuong_quang_vien","Dương Châu Tường Quang Viễn"
"ex:monk/duong_ky_chan_thuc","Dương Kỳ Chân Thúc"
"ex:monk/duong_ky_phuong_hoi","Dương Kỳ Phương Hội"
"ex:monk/duy_chau_hoa_thanh","Duy Châu Hóa Thành"
"ex:monk/duy_sieu_nang_xan","Duy Siêu Năng Xán"
"ex:monk/duy_tac","Duy Tắc"
"ex:monk/duy_thanh_linh_nguyen","Duy Thanh Linh Nguyên"
"ex:monk/duyet_chau_hang_ma_tang","Duyện Châu Hàng Ma Tạng"
"ex:monk/gia_chau_bach_thuy_tu","Gia Châu Bạch Thủy Tự"
"ex:monk/gia_chau_dang_khe","Gia Châu Đặng Khê"
"ex:monk/gia_tien","Gia Tiền"
"ex:monk/gia_tuong_cat_tang","Gia Tường Cát Tạng"
"ex:monk/giac_a","Giác A"
"ex:monk/giac_am_to_thi","Đạo Nhân Giác Am Tổ Thị"
"ex:monk/giac_bao_thanh","Giác Báo Thanh"
"ex:monk/giac_hai_phap_nhan","Am Chủ Giác Hải Pháp Nhân"
"ex:monk/giac_lang_dao_thanh","Giác Lãng Đạo Thạnh"
"ex:monk/giac_linh_hien_thong","Giác Lĩnh Hiển Thông"
"ex:monk/giac_tam","Giác Tâm"
"ex:monk/giac_thanh_ao_te","Giác Thành Ðạo Tề"
"ex:monk/giang_chau_khanh_van_chan","Giang Châu Khánh Vân Chân"
"ex:monk/giang_chau_lo_son_not","Giang Châu Lô Sơn Nột"
"ex:monk/giang_chau_long_van_dai","Giang Châu Long Vân Đài"
"ex:monk/giang_chau_ly_bot","Giang Châu Lý Bột"
"ex:monk/giang_chau_song_khe_dien","Giang Châu Song Khê Điền"
"ex:monk/giang_chau_song_khe_dien","Đạo Giả Giang Châu Song Khê Điền"
"ex:monk/giang_tay_bai_tho","Giang Tây Bại Thọ"
"ex:monk/giang_tay_chi_triet","Giang Tây Chí Triệt"
"ex:monk/giang_tay_linh_son","Giang Tây Linh Sơn"
"ex:monk/giang_to_linh_mac","Giang Tô Linh Mặc"
"ex:monk/giao_trung_di_quang","Giáo Trung Di Quang"
"ex:monk/giap_son_hieu_thuan","Giáp Sơn Hiểu Thuần"
"ex:monk/giap_son_thien_hoi","Giáp Sơn Thiện Hội"
"ex:monk/gioi_hai_vinh_tu","Giới Hải Vĩnh Từ"
"ex:monk/ha_bac_tri_hoang","Hà Bắc Trí Hoàng"
"ex:monk/ha_dong_bac_vien_gian","Hà Đông Bắc Viện Giản"
"ex:monk/ha_ngoc_quang_tue","Hà Ngọc Quang Tuệ"
"ex:monk/ha_son_nhien"," Hà Sơn Nhiên"
"ex:monk/ha_son_nhien","Hà Sơn Nhiên"
"ex:monk/ha_son_thu_tuan","Hà Sơn Thủ Tuân"
"ex:monk/ha_trach_than_hoi","Hà Trạch Thần Hội"
"ex:monk/ha_trung_cong_ky","Hà Trung Công Kỳ"
"ex:monk/hac_lac_na","Tôn Giả Hạc Lặc Na"
"ex:monk/hac_lam_huyen_to","Hạc Lâm Huyền Tố"
"ex:monk/hac_nhan","Hắc Nhãn"
"ex:monk/hac_thuy_tue_thong","Hắc Thủy Tuệ Thông"
"ex:monk/hai_an_bao_thuan","Hải An Bảo Thuận"
"ex:monk/hai_an_tu_diep","Hải Ân Từ Điệp"
"ex:monk/hai_binh_bao_tang","Hải Bình Bảo Tạng"
"ex:monk/hai_binh_khiet_bach","Hải Bình Khiết Bạch"
"ex:monk/hai_chan_chanh_ky","Hải Chấn Chánh Ký"
"ex:monk/hai_chanh_bao_thanh","Hải Chánh Bảo Thanh"
"ex:monk/hai_dang","Hải Đăng"
"ex:monk/hai_dien_mat_da","Hải Điện Mật Đa"
"ex:monk/hai_hoa_phat_dat","Hải Hoa Phát Đạt"
"ex:monk/hai_hoi_thu_tung","Hải Hội Thủ Tung"
"ex:monk/hai_hue_chanh_nhon","Hải Huệ Chánh Nhơn"
"ex:monk/hai_lang_dai_bien","Hải Lăng Đại Biện"
"ex:monk/hai_luu_mat_niem","Hải Lưu Mật Niệm"
"ex:monk/hai_nhu_tin_nham","Hải Nhu Tín Nhậm"
"ex:monk/hai_phong_vinh_mau","Hải Phong Vĩnh Mậu"
"ex:monk/hai_tai_tri_thiep","Hải Tại Trí Thiếp"
"ex:monk/hai_thieu_cuong_ky","Hải Thiệu Cương Kỷ"
"ex:monk/hai_thuan_luong_duyen","Hải Thuận Lương Duyên"
"ex:monk/hai_toan_linh_co","Hải Toàn Linh Cơ"
"ex:monk/hai_trach_thien_hoa","Hải Trạch Thiền Hoa"
"ex:monk/hai_tran_thoai_uyen","Hải Trân Thoại Uyển"
"ex:monk/hai_tran_thuy_uyen","Hải Trân Thụy Uyển"
"ex:monk/hai_truong_phap_lu","Hải Trường Pháp Lữ"
"ex:monk/hai_tu_tam_chanh","Hải Từ Tâm Chánh"
"ex:monk/hai_vinh_pho_tuong","Hải Vinh Phổ Tường"
"ex:monk/ham_nham_nghia_y","Hàm Nham Nghĩa Y"
"ex:monk/han_chau_da_dia","Hân Châu Đả Địa"
"ex:monk/han_chau_thuong_thanh","Hán Châu Thường Thanh"
"ex:monk/han_nam_cao_dinh","Hán Nam Cao Đình"
"ex:monk/hang_chau_bao_an_lien","Hàng Châu Bảo An Liên"
"ex:monk/hang_chau_da_phuoc","Hàng Châu Đa Phước"
"ex:monk/hang_chau_long_tinh_thong","Hàng Châu Long Tỉnh Thông"
"ex:monk/hang_chau_long_tuyen_kinh","Hàng Châu Long Tuyền Kính"
"ex:monk/hang_chau_phat_nhat","Hàng Châu Phật Nhật"
"ex:monk/hang_chau_so_nam","Hàng Châu Sở Nam"
"ex:monk/hang_chau_thien_long","Hàng Châu Thiên Long"
"ex:monk/hang_chau_thien_long_tu","Hàng Châu Thiên Long Tú"
"ex:monk/hang_chau_van_hy","Hàng Châu Văn Hỷ"
"ex:monk/hang_chau_van_long_quy","Hàng Châu Vân Long Quy"
"ex:monk/hang_thong_du","Hàng Thông Dư"
"ex:monk/hanh_chau_dao_san","Hành Châu Đạo Sần"
"ex:monk/hanh_chau_hoa_quang_pham","Hành Châu Hoa Quang Phạm"
"ex:monk/hanh_dao_chung_hoa","Hạnh Đạo Chủng Hoa"
"ex:monk/hanh_nhac_dao_bien","Hành Nhạc Đạo Biện"
"ex:monk/hanh_nhac_nam_dai_thanh","Hành Nhạc Nam Đài Thành"
"ex:monk/hanh_nhac_phung_nang","Hành Nhạc Phụng Năng"
"ex:monk/hanh_son_giam_hong","Hạnh Sơn Giám Hồng"
"ex:monk/hao_chau_tu_minh","Hào Châu Tư Minh"
"ex:monk/hau_hoanh_nhac_kim_luan","Hậu Hoành Nhạc Kim Luân"
"ex:monk/hien_ninh_vien_tri","Hiển Ninh Viên Trí"
"ex:monk/hiep_ton_gia","Hiếp Tôn Giả"
"ex:monk/hiep_ton_gia_hiep_ti_kheo","Hiếp tì kheo"
"ex:monk/hiep_ton_gia_nan_sanh","Nan Sanh"
"ex:monk/ho_chau_thanh_tinh","Hồ Châu Thanh Tịnh"
"ex:monk/ho_khau_nguyen_tinh","Hổ Khâu Nguyên Tịnh"
"ex:monk/ho_khau_thieu_long","Hổ Khâu Thiệu Long"
"ex:monk/ho_nam_dam_vinh","Hồ Nam Đàm Vinh"
"ex:monk/ho_nam_dong_tu_nhu_hoi","Hồ Nam Đông Tự Như Hội"
"ex:monk/ho_nam_van_thu","Hồ Nam Văn Thù"
"ex:monk/ho_nam_vinh_an_lang","Hồ Nam Vĩnh An Lãng"
"ex:monk/ho_quoc_canh_nguyen","Hộ Quốc Cảnh Nguyên"
"ex:monk/ho_quoc_canh_tan","Hộ Quốc Cảnh Tân"
"ex:monk/ho_quoc_te_nguyet","Hộ Quốc Tề Nguyệt"
"ex:monk/ho_quoc_thu_trung","Hộ Quốc Thủ Trừng"
"ex:monk/ho_quoc_thu_xuong","Hộ Quốc Thủ Xướng"
"ex:monk/ho_quoc_tue_ban","Hộ Quốc Tuệ Bản"
"ex:monk/ho_thanh_cu_tinh","Hộ Thánh Cư Tỉnh"
"ex:monk/hoa_dinh_thuyen_tu_duc_thanh","Hoa Đình Thuyền Tử Đức Thành"
"ex:monk/hoa_do_su_uc","Hóa Độ Sư Úc"
"ex:monk/hoa_duoc_nghia_nhien","Hoa Dược Nghĩa Nhiên"
"ex:monk/hoa_duoc_nguyen_cung","Hoa Dược Nguyên Cung"
"ex:monk/hoa_duoc_tri_bang","Hoa Dược Trí Bằng"
"ex:monk/hoa_lam_giac","Hoa Lâm Giác"
"ex:monk/hoa_lam_thien_giac","Hoa Lâm Thiện Giác"
"ex:monk/hoa_nghiem_chi_on","Hoa Nghiêm Chí Ôn"
"ex:monk/hoa_nghiem_dao_long","Hoa Nghiêm Ðạo Long"
"ex:monk/hoa_nghiem_hue_lan","Hoa Nghiêm Huệ Lan"
"ex:monk/hoa_nghiem_huu_tinh","Hoa Nghiêm Hưu Tĩnh"
"ex:monk/hoa_nghiem_pho_tu","Hoa Nghiêm Phổ Tư"
"ex:monk/hoa_nghiem_to_giac","Hoa Nghiêm Tổ Giác"
"ex:monk/hoa_son_chi_truyen","Hòa Sơn Chí Truyền"
"ex:monk/hoa_son_duc_pho","Hòa Sơn Ðức Phổ"
"ex:monk/hoa_son_hue_phuong","Hòa Sơn Huệ Phương"
"ex:monk/hoa_son_khe_van","Hòa Sơn Khế Vân"
"ex:monk/hoa_son_ngu_am","Hòa Sơn Ngũ Âm"
"ex:monk/hoa_son_vo_an","Hòa Sơn Vô Ân"
"ex:monk/hoa_tang_an_dan","Hoa Tạng An Dân"
"ex:monk/hoa_tang_giac_thong","Hoa Tạng Giác Thông"
"ex:monk/hoa_tang_tong_dien","Hoa Tạng Tông Diễn"
"ex:monk/hoa_tang_tri_tham","Hoa Tạng Trí Thâm"
"ex:monk/hoa_tang_tue_to","Hoa Tạng Tuệ Tộ"
"ex:monk/hoa_thanh_tue_lang","Hóa Thành Tuệ Lãng"
"ex:monk/hoac_am_su_the","Hoặc Am Sư Thể"
"ex:monk/hoac_son_canh_thong","Hoắc Sơn Cảnh Thông"
"ex:monk/hoai_chau_huyen_tuyen","Hoài Châu Huyền Tuyền"
"ex:monk/hoai_chau_huyen_tuyen_ngan","Hoài Châu Huyền Tuyền Ngạn"
"ex:monk/hoan_nguyen_phuc_ngo","Hoàn Nguyên Phúc Ngộ"
"ex:monk/hoang_ba_dao_toan","Hoàng Bá Ðạo Toàn"
"ex:monk/hoang_ba_duy_thang","Hoàng Bá Duy Thắng"
"ex:monk/hoang_ba_hy_van","Hoàng Bá Hy Vận"
"ex:monk/hoang_ba_hy_van_doan_te_thien_su","Đoan Tế Thiền Sư"
"ex:monk/hoang_ba_linh_uoc","Hoàng Bá Linh Ước"
"ex:monk/hoang_ba_phap_te","Hoàng Bá Pháp Tế"
"ex:monk/hoang_ba_vinh_thai","Hoàng Bá Vĩnh Thái"
"ex:monk/hoang_canh_vien_dung","Hoàng Cảnh Viên Dung"
"ex:monk/hoang_chat","Hoằng Chất"
"ex:monk/hoang_dinh_kien","Cư Sĩ Thái Sử Hoàng Ðình Kiên"
"ex:monk/hoang_lau_dieu_tan","Hoàng Lầu Diệu Tấn"
"ex:monk/hoang_lien_nghia_so","Hoàng Liên Nghĩa Sơ"
"ex:monk/hoang_long_dao_quan","Hoàng Long Ðạo Quán"
"ex:monk/hoang_long_duc_phung","Hoàng Long Ðức Phùng"
"ex:monk/hoang_long_hoi_co","Hoàng Long Hối Cơ"
"ex:monk/hoang_long_hue_nam","Hoàng Long Huệ Nam"
"ex:monk/hoang_long_hue_nam","hoang long hue nam"
"ex:monk/hoang_long_ngo_tan","Hoàng Long Ngộ Tân"
"ex:monk/hoang_long_nhu_hieu","Hoàng Long Như Hiểu"
"ex:monk/hoang_long_phap_trung","Hoàng Long Pháp Trung"
"ex:monk/hoang_long_thu_not","Hoàng Long Thủ Nột"
"ex:monk/hoang_long_tri_minh","Cư Sĩ Thái Sử Hoàng Ðình Kiên"
"ex:monk/hoang_long_tri_minh","Hoàng Long Trí Minh"
"ex:monk/hoang_mai_hoang_nhan","Tôn Giả Hoàng Mai Hoằng Nhẫn"
"ex:monk/hoang_mai_hoang_nhan","Tôn Giả Hoằng Nhẫn"
"ex:monk/hoang_ngan_tiet","Cư Sĩ Môn Ty Hoàng Ngạn Tiết"
"ex:monk/hoang_nguyen","Hoằng Nguyện"
"ex:monk/hoang_nham_bao_hien","Hoàng Nham Bảo Hiên"
"ex:monk/hoang_son_luong_khuong","Hoàng Sơn Lương Khuông"
"ex:monk/hoang_son_nguyet_luan","Hoàng Sơn Nguyệt Luân"
"ex:monk/hoang_tho","Hoằng Thọ"
"ex:monk/hoang_tri_chanh_giac","Hoằng Trí Chánh Giác"
"ex:monk/hoanh_hoa_nguyen_ngo","Hoành Hóa Nguyên Ngộ"
"ex:monk/hoat_chau_quan_am","Hoạt Châu Quán Âm"
"ex:monk/hoat_ngo_long_tham","Hoát Ngộ Long Tham"
"ex:monk/hoi_dai_nguyen_kinh","Hối Đài Nguyên Kính"
"ex:monk/hoi_duong_to_tam","Hối Đường Tổ Tâm"
"ex:monk/hoi_thuc_vuong_thu","Hối Thúc Vương Thự"
"ex:monk/hong_chau_bach_truong_an","Hồng Châu Bách Trượng An"
"ex:monk/hong_chau_bach_truong_sieu","Hồng Châu Bách Trượng Siêu"
"ex:monk/hong_chau_dai_ninh_nap","Hồng Châu Đại Ninh Nạp"
"ex:monk/hong_chau_dong_an","Hồng Châu  Đồng An"
"ex:monk/hong_chau_dong_an","Hồng Châu Đồng An"
"ex:monk/hong_chau_dong_an_oai","Hồng Châu Đồng An Oai"
"ex:monk/hong_chau_dong_son_tue","Hồng Châu Đông Sơn Tuệ"
"ex:monk/hong_chau_kien_son_trung","Hồng Châu Kiến Sơn Trừng"
"ex:monk/hong_chau_lac_dam_mau","Hồng Châu Lặc Đàm Mâu"
"ex:monk/hong_chau_lac_dam_minh","Hồng Châu Lặc Đàm Minh"
"ex:monk/hong_chau_lac_dam_ngo","Hồng Châu Lặc Đàm Ngộ"
"ex:monk/hong_chau_loc_nguyen","Hồng Châu Lộc Nguyên"
"ex:monk/hong_chau_me_linh","Hồng Châu Mễ Lĩnh"
"ex:monk/hong_chau_phap_dat","Hồng Châu Pháp Đạt"
"ex:monk/hong_chau_tan_hung_te","Hồng Châu Tân Hưng Tế"
"ex:monk/hong_chau_tay_son_luong","Hồng Châu Tây Sơn Lượng"
"ex:monk/hong_chau_thien_vuong_vien","Hồng Châu Thiên Vương Viện"
"ex:monk/hong_chau_thuy_lao","Hồng Châu Thủy Lão"
"ex:monk/hong_chau_van_cu_dung","Hồng Châu Vân Cư Dung"
"ex:monk/hong_chau_vinh_an_minh","Hồng Châu Vĩnh An Minh"
"ex:monk/hong_chuong_tri_duc","Hồng Chương Trí Đức"
"ex:monk/hong_dieu_thien_dao","Hồng Diệu Thiện Đạo"
"ex:monk/hong_lau_dieu_tan","Hồng Lầu Diệu Tấn"
"ex:monk/hong_mao_thien_tam","Hồng Mão Thiện Tâm"
"ex:monk/hong_minh_tu_hoi","Hồng Minh Từ Hội"
"ex:monk/hong_nam_huyen_khong","Hồng Nam Huyền Không"
"ex:monk/hong_nhan_tu_nhon","Hồng Nhẫn Từ Nhơn"
"ex:monk/hong_nhon_tu_nhan","Hồng Nhơn Từ Nhẫn"
"ex:monk/hong_phap_thien_minh","Hồng Pháp Thiện Minh"
"ex:monk/hong_phuoc_tu_giao","Hồng Phước Tử Giao"
"ex:monk/hong_quy_buu_thanh","Hồng Quý Bửu Thanh"
"ex:monk/hong_sang_thien_quang","Hồng Sáng Thiện Quang"
"ex:monk/hong_thong_tri_chau","Hồng Thông Trí Châu"
"ex:monk/hong_toi_thien_tuong","Hồng Tôi Thiện Tường"
"ex:monk/hong_tong_pho_quang","Hồng Tòng Phổ Quảng"
"ex:monk/hong_tong_quang_dat","Hồng Tồng Quảng Đạt"
"ex:monk/hong_trung_dieu_hau","Hồng Trung Diệu Hậu"
"ex:monk/hong_trung_thien_tin","Hồng Trung Thiện Tín"
"ex:monk/hong_tu_dieu_nga","Hồng Từ Diệu Nga"
"ex:monk/hong_tuyen_tu_thong","Hồng Tuyên Từ Thông"
"ex:monk/hong_xung_thien_quang","Hồng Xứng Thiện Quang"
"ex:monk/hop_chau_giam","Hợp Châu Giám"
"ex:monk/hu_chu_pho_do","Hư Chu Phổ Độ"
"ex:monk/hua_chau_khanh_tho","Hứa Châu Khánh Thọ"
"ex:monk/hue_doan","Huệ Đoan"
"ex:monk/hue_huy_tu_dac","Huệ Huy Tự Đắc"
"ex:monk/hue_kha","Tôn Giả Huệ Khả"
"ex:monk/hue_kha_hue_kha","Huệ Khả"
"ex:monk/hue_kha_tang_kha","Tăng Khả"
"ex:monk/hue_kha_than_quang","Thần Quang"
"ex:monk/hue_kha_thien_su","Thiền sư"
"ex:monk/hue_lam","Huệ Lâm"
"ex:monk/hue_trang","Huệ Tràng"
"ex:monk/hung_duong_hien","Hưng Dương Hiền"
"ex:monk/hung_duong_thanh_phau","Hưng Dương Thanh Phẩu"
"ex:monk/hung_giao_than","Hưng Giáo Thản"
"ex:monk/hung_giao_tue_thuan","Hưng Giáo Tuệ Thuân"
"ex:monk/hung_hoa_kha_do","Hưng Hóa Khả Ðô"
"ex:monk/hung_hoa_nhan_nhac","Hưng Hóa Nhân Nhạc"
"ex:monk/hung_hoa_nhan_nhac","Định Lâm Cảnh Phượng"
"ex:monk/hung_hoa_phap_trung","Hưng Hóa Pháp Trừng"
"ex:monk/hung_hoa_thieu_thanh","Hưng Hóa Thiệu Thanh"
"ex:monk/hung_hoa_ton_tuong","Hưng Hóa Tồn Tương"
"ex:monk/hung_hoa_ton_tuong","Hưng Hóa Tồn Tưởng"
"ex:monk/hung_nguyen_pho_thong_phong","Hưng Nguyên Phổ Thông Phong"
"ex:monk/hung_nhi_tu","Hùng Nhĩ Từ"
"ex:monk/hung_phuoc_kha_huan","Hưng Phước Khả Huân"
"ex:monk/hung_phuoc_khuong_nguyen","Hưng Phước Khương Nguyên"
"ex:monk/hung_quoc_chan_lang","Hưng Quốc Chấn Lãng"
"ex:monk/hung_quoc_khe_nha","Hưng Quốc Khế Nhã"
"ex:monk/hung_thanh","Hưng Thạnh"
"ex:monk/hung_thien_the_luan","Hưng Thiện Thê Luân"
"ex:monk/hung_triet","Hưng Triệt"
"ex:monk/huong_duong_hy_an","Hương Dương Hy Ẩn"
"ex:monk/huong_khe_tung_pham","Hương Khê Tùng Phạm"
"ex:monk/huong_lam_trung_vien","Hương Lâm Trừng Viễn"
"ex:monk/huong_nghiem_dong_phu","Hương Nghiêm Ðộng Phu"
"ex:monk/huong_nghiem_nghia_doan","Hương Nghiêm Nghĩa Đoan"
"ex:monk/huong_nghiem_tri_nhan","Hương Nghiêm Trí Nhàn"
"ex:monk/huong_son_duy_duc","Hương Sơn Duy Đức"
"ex:monk/huong_son_phap_thanh","Hương Sơn Pháp Thành"
"ex:monk/huong_son_uan_luong","Hương Sơn Uẩn Lương"
"ex:monk/huu_thanh_phap_cu","Hựu Thánh Pháp Cư"
"ex:monk/huyen_huu_thuong_nhuan","Huyễn Hưu Thường Nhuận"
"ex:monk/huyen_sa_hop_van","Huyền Sa Hợp Văn"
"ex:monk/huyen_sa_su_bi","Huyền Sa Sư Bị"
"ex:monk/huyen_sa_tang_chieu","Huyền Sa Tăng Chiêu"
"ex:monk/huyen_sach","Huyền Sách"
"ex:monk/huynh_sinh_thieu_can","Huỳnh Sinh Thiệu Cẩn"
"ex:monk/ich_chau_bac_vien_thong","Ích Châu Bắc Viện Thông"
"ex:monk/ich_chau_bach","Ích Châu Bạch"
"ex:monk/ich_chau_hoai_qua","Ích Châu Hoài Quả"
"ex:monk/ich_chau_son_vien_giap","Ích Châu Sơn Viện Giáp"
"ex:monk/ich_chau_tay_muc","Ích Châu Tây Mục"
"ex:monk/ich_chau_the_muc","Ích Châu Thê Mục"
"ex:monk/ich_chau_truong_binh","Ích Châu Trường Bình"
"ex:monk/ich_chau_ung_thien","Ích Châu Ứng Thiên"
"ex:monk/ich_chau_vo_tuong","Ích Châu Vô Tướng"
"ex:monk/ke_lam_dao_nghia","Kê Lâm Đạo Nghĩa"
"ex:monk/khai_nguyen_chi_khiem","Khai Nguyên Chí Khiêm"
"ex:monk/khai_nguyen_tu_kha","Khai Nguyên Tử Kha"
"ex:monk/khai_phuoc_dao_ninh","Khai Phước Đạo Ninh"
"ex:monk/khai_phuoc_tong_triet","Khai Phước Tông Triết"
"ex:monk/khai_thanh_bao_tinh","Khai Thánh Bảo Tình"
"ex:monk/khai_thanh_bao_tinh","Sơn Chủ Khai Thánh Bảo Tình"
"ex:monk/khai_thien_dao_khiem","Khai Thiện Đạo Khiêm"
"ex:monk/khai_tien_hanh_anh","Khai Tiên Hạnh Anh"
"ex:monk/khai_tien_thanh_dieu","Khai Tiên Thanh Diệu"
"ex:monk/khai_tien_thieu_tong","Khai Tiên Thiệu Tông"
"ex:monk/kham_son_pho_so","Khâm Sơn Phổ Sơ"
"ex:monk/kham_son_van_thuy","Khâm Sơn Văn Thúy"
"ex:monk/khang_son_khe_an","Khang Sơn Khế Ẩn"
"ex:monk/khanh_thien_pho_nang","Khánh Thiện Phổ Năng"
"ex:monk/khanh_thien_thu_long","Khánh Thiện Thủ Long"
"ex:monk/khanh_thien_tong_chan","Khánh Thiện Tông Chấn"
"ex:monk/khe_son_chuong","Khê Sơn Chương"
"ex:monk/khe_vi","Khế Vi"
"ex:monk/khoan_duc_thanh_lang","Khoan Dực Thanh Lãng"
"ex:monk/khoan_giao_nhu_hoa","Khoan Giáo Nhu Hòa"
"ex:monk/khoan_thong_chanh_tri","Khoan Thông Chánh Trí"
"ex:monk/khoan_tinh","Khoan Tịnh"
"ex:monk/khoat_duong_dai_van","Khoát Đường Đại Văn"
"ex:monk/khong_hoa_hue_chieu","Không Hoa Huệ Chiếu"
"ex:monk/khong_tam_tri_quang","Không Tâm Trí Quảng"
"ex:monk/khong_that_tri_thong","Không Thất Trí Thông"
"ex:monk/khong_tin_ke_chau","Không Tín Kế Châu"
"ex:monk/khuong_dat_bao_an","Khuông Dật Báo Ân"
"ex:monk/khuong_son_phuong","Khương Sơn Phương"
"ex:monk/khuynh_tam_phap_diem","Khuynh Tâm Pháp Diễm"
"ex:monk/kiem_mon_an_phan","Am Chủ Kiếm Môn An Phần"
"ex:monk/kiem_mon_nam_tu_tao","Kiếm Môn Nam Tu Tạo"
"ex:monk/kien_chau_bach_van_giam","Kiến Châu Bạch Vân Giảm"
"ex:monk/kien_chau_bach_van_uoc","Kiến Châu Bạch Vân Ước"
"ex:monk/kien_chau_mong_but","Kiến Châu Mộng Bút"
"ex:monk/kien_chau_xu_triet","Kiền Châu Xứ Triệt"
"ex:monk/kien_chau_xu_triet","Kiền Châu Xứ Vy"
"ex:monk/kien_chau_xu_vy","Kiền Châu Xứ Vy"
"ex:monk/kien_long_chieu_khanh","Kiến Long Chiêu Khánh"
"ex:monk/kien_son_kien","Kiến Sơn Kiên"
"ex:monk/kim_chau_thao","Kim Châu Thao"
"ex:monk/kim_hoa_cau_chi","Kim Hoa Câu Chi"
"ex:monk/kim_lang_bao_an_chi","Kim Lăng Bảo An Chỉ"
"ex:monk/kim_lang_du_dao_ba","Kim Lăng Du Đạo Bà"
"ex:monk/kim_lang_phap_tri","Kim Lăng Pháp Trì"
"ex:monk/kim_lang_phap_tri_kim_lang_phap_tri","Kim Lăng Pháp Trì"
"ex:monk/kim_lang_phap_tri_thien_su","Thiền sư"
"ex:monk/kim_lang_phap_tri_truong","Trương"
"ex:monk/kim_lang_thanh_luong_minh","Kim Lăng Thanh Lương Minh"
"ex:monk/kim_luan_kha_quan","Kim Luân Khả Quán"
"ex:monk/kim_phong_tung_chi","Kim Phong Tùng Chí"
"ex:monk/kim_son_dam_dinh","Kim Sơn Ðàm Dĩnh"
"ex:monk/kim_son_kien","Kim Sơn Kiên"
"ex:monk/kim_son_thien_khai","Kim Sơn Thiện Khai"
"ex:monk/kim_son_vien_thong","Kim Sơn Viên Thông"
"ex:monk/kim_thang_van","Kim Thằng Văn"
"ex:monk/kim_tru_nghia_chieu","Kim Trụ Nghĩa Chiêu"
"ex:monk/kinh_chau_cong_an_man","Kinh Châu Công An Mẫn"
"ex:monk/kinh_chau_ho_quoc_mai","Kinh Châu Hộ Quốc Mại"
"ex:monk/kinh_mon_thuong_tuyen","Kinh Môn Thượng Tuyền"
"ex:monk/kinh_nguyen_quang_luc","Kinh Nguyên Quang Lực"
"ex:monk/kinh_son_bao_an","Kính Sơn Bảo Ấn"
"ex:monk/kinh_son_dao_kham","Kính Sơn Đạo Khâm"
"ex:monk/kinh_son_dao_xung","Kính Sơn Đạo Xung"
"ex:monk/kinh_son_dieu_cao","Kính Sơn Diệu Cao"
"ex:monk/kinh_son_giam_tong","Kính Sơn Giám Tông"
"ex:monk/kinh_son_hanh_doan","Kính Sơn Hạnh Ðoan"
"ex:monk/kinh_son_hong_nhan","Kính Sơn Hồng Nhân"
"ex:monk/kinh_son_lieu_minh","Kính Sơn Liễu Minh"
"ex:monk/kinh_son_nguyen_hy","Kính Sơn Nguyên Hy"
"ex:monk/kinh_son_nhu_diem","Kính Sơn Như Diễm"
"ex:monk/kinh_son_thien_tran","Kính Sơn Thiện Trân"
"ex:monk/kinh_son_tri_sach","Kính Sơn Trí Sách"
"ex:monk/kinh_thanh_dao_pho","Kính Thanh Đạo Phó"
"ex:monk/kinh_trieu_ban_long","Kinh Triệu Bàn Long"
"ex:monk/kinh_trieu_bao_phuoc","Kinh Triệu Bảo Phước"
"ex:monk/kinh_trieu_duy_khoan","Kinh Triệu Duy Khoan"
"ex:monk/kinh_trieu_hien_tu","Kinh Triệu Hiện Tử"
"ex:monk/kinh_trieu_hoang_bien","Kinh Triệu Hoằng Biện"
"ex:monk/kinh_trieu_hung_binh","Kinh Triệu Hưng Bình"
"ex:monk/kinh_trieu_huong_thanh","Kinh Triệu Hương Thành"
