ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/bach_ma_hy","Bạch Mã Hy"
"ex:monk/bach_ma_quy_hy","Bạch Mã Quy Hỷ"
"ex:monk/bach_ma_quy_xuan","Bạch Mã Quy Xuân"
"ex:monk/bach_nham_minh_triet","Bách Nham Minh Triết"
"ex:monk/bach_nhan_minh_triet","Bách Nhan Minh Triết"
"ex:monk/bach_tao_nghiem","Bạch Tảo Nghiễm"
"ex:monk/bach_thuy_bon_nhan","Bạch Thủy Bổn Nhân"
"ex:monk/bach_thuy_nhu_tan","Bạch Thủy Như Tân"
"ex:monk/bach_thuy_tu_di","Bạch Thủy Tu Dĩ"
"ex:monk/bach_trieu_chi_vien","Bạch Triệu Chỉ Viên"
"ex:monk/bach_trieu_hoai_so","Bạch Triệu Hoài Sở"
"ex:monk/bach_truong_di_the","Bách Trượng Dĩ Thê"
"ex:monk/bach_truong_duy_chanh","Bách Trượng Duy Chánh"
"ex:monk/bach_truong_duy_chinh","Bách Trượng Duy Chính"
"ex:monk/bach_truong_duy_co","Bách Trượng Duy Cổ"
"ex:monk/bach_truong_hoai_hai","Bách Trượng Hoài Hải"
"ex:monk/bach_truong_nguyen_tuc","Bách Trượng Nguyên Túc"
"ex:monk/bach_truong_xiem","Bách Trượng Xiêm"
"ex:monk/bach_tu_duc_tung","Bách Tử Ðức Tung"
"ex:monk/bach_van_khong_do","Bích Thiên Thanh Không"
"ex:monk/bach_van_khong_do","Bạch Vân Không Độ"
"ex:monk/bach_van_khong_do","Nguyệt Khê Diệu Trừng"
"ex:monk/bach_van_khong_do","Vô Huyễn Tịnh Xung"
"ex:monk/bach_van_khong_do","Vô Tận Tuệ Hải"
"ex:monk/bach_van_khong_do","Đột Không Trí Bản"
"ex:monk/bach_van_linh_yem","Bạch Vân Linh Yểm"
"ex:monk/bach_van_thu_doan","Bạch Vân Thủ Đoan"
"ex:monk/bach_van_thu_doan","Long Hoa Cao"
"ex:monk/bach_van_tri_tac","Bạch Vân Trí Tác"
"ex:monk/bach_van_vo_huu","Bạch Vân Vô Hưu"
"ex:monk/ban_giac_nha_chau","Bản Giác Nhã Châu"
"ex:monk/ban_long_kha_van","Bàn Long Khả Văn"
"ex:monk/ban_nha_tinh_lu","Ban Nhã Tịnh Lữ"
"ex:monk/ban_son_bao_tich","Bàn Sơn Bảo Tích"
"ex:monk/ban_tich_van_quan","Bản Tịch Văn Quan"
"ex:monk/banh_chau_thien_thai","Bành Châu Thiên Thai"
"ex:monk/banh_nhu_lam","Cư Sĩ Gián Nghị Bành Nhữ Lâm"
"ex:monk/bao_an_bao_tu","Báo Ân Bảo Tư"
"ex:monk/bao_an_hanh_sung","Báo Ân Hạnh Sùng"
"ex:monk/bao_an_hoai_nhac","Báo Ân Hoài Nhạc"
"ex:monk/bao_an_huyen_tac","Báo Ân Huyền Tắc"
"ex:monk/bao_an_kha_phong","Bảo An Khả Phong"
"ex:monk/bao_an_phap_an","Báo Ân Pháp An"
"ex:monk/bao_an_phap_dien","Báo Ân Pháp Diễn"
"ex:monk/bao_an_sieu","Bảo An Siêu"
"ex:monk/bao_an_su_mat","Bảo An Sư Mật"
"ex:monk/bao_an_thanh","Báo Ân Thành"
"ex:monk/bao_an_thanh","Thanh Nguyên Như"
"ex:monk/bao_an_thanh_ho","Báo Ân Thanh Hộ"
"ex:monk/bao_an_thong","Báo Ân Thông"
"ex:monk/bao_an_tue_minh","Báo Ân Tuệ Minh"
"ex:monk/bao_ban_tue_nguyen","Báo Bản Tuệ Nguyên"
"ex:monk/bao_cai_tu_can","Bảo Cái Tử Cần"
"ex:monk/bao_chan","Bảo Chân"
"ex:monk/bao_hoa_hien","Bảo Hoa Hiển"
"ex:monk/bao_hoa_pho_giam","Bảo Hoa Phổ Giám"
"ex:monk/bao_ninh_hung_du","Bảo Ninh Hưng Dự"
"ex:monk/bao_ninh_nhan_dung","Bảo Ninh Nhân Dũng"
"ex:monk/bao_ninh_vien_co","Bảo Ninh Viên Cơ"
"ex:monk/bao_phong_duy_chieu","Bảo Phong Duy Chiếu"
"ex:monk/bao_phuoc_ban_quyen","Bảo Phước Bản Quyền"
"ex:monk/bao_phuoc_ban_quyen","Tuệ An Tuệ Uyên"
"ex:monk/bao_phuoc_kha_tru","Bảo Phước Khả Trù"
"ex:monk/bao_phuoc_ngo","Bảo Phước Ngộ"
"ex:monk/bao_phuoc_sieu_ngo","Bảo Phước Siêu Ngộ"
"ex:monk/bao_phuoc_thanh_khoat","Bảo Phước Thanh Khoát"
"ex:monk/bao_phuoc_thu","Bảo Phước Thù"
"ex:monk/bao_phuoc_tung_trien","Bảo Phước Tùng Triển"
"ex:monk/bao_tang_ban","Bảo Tạng Bản"
"ex:monk/bao_than_huu_thuy","Bao Thân Hữu Thụy"
"ex:monk/bao_than_tong_du","Bao Thân Tông Dụ"
"ex:monk/bao_thap_thieu_nham","Bảo Tháp Thiệu Nham"
"ex:monk/bao_tho","Bảo Thọ (Đời thứ 2)"
"ex:monk/bao_tho","Bảo Thọ"
"ex:monk/bao_tho_dien_chieu","Bảo Thọ Diên Chiểu"
"ex:monk/bao_tho_toi_lac","Bảo Thọ Tối Lạc"
"ex:monk/bao_thong","Bảo Thông"
"ex:monk/bao_tu_hanh_ngon","Báo Từ Hành Ngôn"
"ex:monk/bao_tu_quang_van","Báo Từ Quang Vân"
